"Tags","Vendor","Title","Handle","Body (HTML)","Variant Price","Length","Length Unit","Width","Width Unit","Thickness","Thickness Unit","Variant Weight","Variant Weight Unit","URL","Image Src","Image Position"
"""Building Materials,Insulation,Spray Foam Insulation""","GREAT STUFF","12 oz. Gaps and Cracks Insulating Spray Foam Sealant","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","4.38","","undefined","2.63","in","","undefined","1","lb","https://www.homedepot.com/p/GREAT-STUFF-12-oz-Gaps-and-Cracks-Insulating-Spray-Foam-Sealant-227112/202893728","https://images.thdstatic.com/productImages/a4c4a925-bdd3-4c7e-bd58-af317772e8b0/svn/great-stuff-spray-foam-insulation-227112-64_600.jpg","1"
"undefined","undefined","undefined","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/a508623c-81d5-4cfd-accb-0849907c7f69/svn/great-stuff-spray-foam-insulation-227112-e1_600.jpg","2"
"undefined","undefined","undefined","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/66036796001/8623f873-49f9-46a9-bc55-0764e9358df2/main/1280x720/10s421ms/match/image.jpg","3"
"undefined","undefined","undefined","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/66036796001/8623f873-49f9-46a9-bc55-0764e9358df2/main/1280x720/10s421ms/match/image.jpg","4"
"undefined","undefined","undefined","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/66036796001/8623f873-49f9-46a9-bc55-0764e9358df2/main/1280x720/10s421ms/match/image.jpg","5"
"undefined","undefined","undefined","12-oz-gaps-and-cracks-insulating-spray-foam-sealant","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/66036796001/8623f873-49f9-46a9-bc55-0764e9358df2/main/1280x720/10s421ms/match/image.jpg","6"
"""Building Materials,Concrete, Cement & Masonry,Asphalt Repair,Asphalt Crack Filler""","Quikrete","50 lb. Commercial Grade Blacktop Repair Patch","50-lb-commercial-grade-blacktop-repair-patch","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Interested in purchasing a pallet, buy 63 bags</span></li><li data-testid=""bullet-list-item""><span>Permanently repairs potholes &amp; large cracks over 1 in. in asphalt</span></li><li data-testid=""bullet-list-item""><span>DOT approved formula</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Quikrete 50 lb. Commercial Grade Permanent Blacktop Repair Patch is designed to repair potholes and cracks over 1 in. wide in asphalt pavements. Provides superior placement and bonding characteristics and produces a virtually permanent repair, even in cold, damp conditions.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Use asphalt patch on roads, driveways, parking lots and pathways</span></li><li data-testid=""bullet-list-item""><span>Repaired area is ready for immediate return to service</span></li><li data-testid=""bullet-list-item""><span>Superior bond strength</span></li><li data-testid=""bullet-list-item""><span>Use in wet or dry conditions</span></li><li data-testid=""bullet-list-item""><span>Please be advised there could be a discrepancy regarding the pallet counts for certain Home Depot locations, if you are interested in purchasing pallet quantities, please reach out to your local Home Depot to confirm pallet counts.</span></li><li data-testid=""bullet-list-item""><span>Note: product may vary by store</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100545936</span><span><span>Internet #:</span> 039645170144</span><span><span>Model #:</span> 170152</span></div>","13.48","9.5","in","","undefined","","undefined","50","lb","https://www.homedepot.com/p/Quikrete-50-lb-Commercial-Grade-Blacktop-Repair-Patch-170152/100545936","https://images.thdstatic.com/productImages/497443f0-b10c-4c1f-9f65-0c4e6e84b090/svn/quikrete-asphalt-crack-filler-170152-64_600.jpg","1"
"undefined","undefined","undefined","50-lb-commercial-grade-blacktop-repair-patch","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/41cc7c00-423d-4793-a5e4-2095eedb2867/svn/quikrete-asphalt-crack-filler-170152-e1_600.jpg","2"
"undefined","undefined","undefined","50-lb-commercial-grade-blacktop-repair-patch","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/abb27d9e-e7e8-4a13-b167-61f369dffc53/355dfced-de7e-478b-a39d-b093fdb3342e/1280x720/match/image.jpg","3"
"undefined","undefined","undefined","50-lb-commercial-grade-blacktop-repair-patch","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/static/66036796001/abb27d9e-e7e8-4a13-b167-61f369dffc53/355dfced-de7e-478b-a39d-b093fdb3342e/1280x720/match/image.jpg","4"
